Timestamp,TransactionId,Work Arrangement,Number of Work Days,WFH Days,Onsite Days,Travel Methods,Monday Travel Method,Tuesday Travel Method,Wednesday Travel Method,Thursday Travel Method,Friday Travel Method,Saturday Travel Method,Sunday Travel Method,Carpool Passenger Count,Distance,Department,Incentive Feedback
2022-07-12 0:29:27 GMT+10,dh73m2,wfh,5,"Monday, Tuesday, Wednesday, Thursday, Friday",,Train/tram,Train/tram,Train/tram,Train/tram,Train/tram,Train/tram,,,0,30,Active & Healthy Lifestyles,
2022-07-12 19:33:07 GMT+10,q0hv7g,wfh,2,"Monday, Tuesday",,Bus,Bus,Bus,,,,,,0,2,Bendigo Venues & Events,
2022-07-13 15:59:29 GMT+10,u4rp24,hybrid,5,"Monday, Friday","Tuesday, Wednesday, Thursday",Walk/run,,Walk/run,Walk/run,Walk/run,,,,0,1.5,Business Services & Economic Development,
2022-07-13 16:00:07 GMT+10,eccr6x,onsite,4,,"Monday, Tuesday, Wednesday, Thursday","Bicycle, Car",Car,Car,Bicycle,Car,,,,0,12,Engineering,Let staff store their bike safetly within the building (Hopetoun Mill). No issues at GovHub. Will be great facilities by the looks
2022-07-13 16:00:43 GMT+10,2ze1xu,hybrid,4,"Wednesday, Thursday","Monday, Tuesday",Bicycle,Bicycle,Bicycle,,,,,,0,10,Community Partnerships,I always ride to work. The Creek Trail to Bendigo from Spring Gully is great but still some roads to cross the cycling then through the city can be treacherous even with bike lanes. Not sure of the solution to this.
2022-07-13 16:01:01 GMT+10,fv3qmx,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday",Car,Car,Car,Car,Car,Car,,,0,8.5,Financial Strategy,More Public Bus Services to Maiden Gully 
2022-07-13 16:01:05 GMT+10,fbb51p,hybrid,4,Wednesday,"Monday, Tuesday, Thursday",Car,Car,Car,,Car,,,,0,6.2,Strategic Planning,Park and ride mass transit options
2022-07-13 16:01:35 GMT+10,3hkimx,hybrid,5,Tuesday,"Monday, Wednesday, Thursday, Friday",Car,Car,,Car,Car,Car,,,0,15,Financial Strategy,Changing room facilities
2022-07-13 16:02:23 GMT+10,w1k0f0,hybrid,5,"Monday, Wednesday","Tuesday, Thursday, Friday",Car,,Car,,Car,Car,,,0,74.6,Business Services & Economic Development,I commute an hour each way meaning it is quite a strain on emissions. Whilst i love working in the office. A third day at home would decrease emissions and the cost of petrol.
2022-07-13 16:02:36 GMT+10,j6hm38,hybrid,4,"Thursday, Friday","Monday, Wednesday","Bicycle, Train/tram",Bicycle,,Train/tram,,,,,0,35,Office of the CEO/Director,"Better end of trip and shower facilities. Public transport subsidies. Less car parking spaces. Less communication that normalises car travel (e.g talking about x minutes drive, car parking etc)"
2022-07-13 16:02:41 GMT+10,f9o4or,hybrid,5,Monday,"Tuesday, Wednesday, Thursday, Friday",Car,,Car,Car,Car,Car,,,0,10,Financial Strategy,
2022-07-13 16:02:45 GMT+10,w4sqjr,hybrid,3,Thursday,"Tuesday, Wednesday",Car,,Car,Car,,,,,0,32,Tourism & Major Events,
2022-07-13 16:02:50 GMT+10,6lt3n9,onsite,2,,"Wednesday, Thursday",Car,,,Car,Car,,,,0,30,Community Wellbeing,Advocate for train station in Harcourt.
2022-07-13 16:03:30 GMT+10,winglo,onsite,4,,"Monday, Tuesday, Wednesday, Thursday",Car,Car,Car,Car,Car,,,,0,10,Engineering,
2022-07-13 16:03:44 GMT+10,8fivbw,onsite,5,,"Monday, Tuesday, Wednesday, Thursday, Friday","Car, Walk/run",Car,Walk/run,Car,Walk/run,Walk/run,,,0,5,Active & Healthy Lifestyles,"Changing room facilities, during the spring, summer early autumn months I bike ride to work. I don' like riding in the colder months "
2022-07-13 16:3:47 GMT+10,apepqs,hybrid,5,"Wednesday, Friday","Monday, Tuesday, Thursday",Car,Car,Car,,Car,,,,0,35,Governance,Nothing that council can impact.
2022-07-13 16:03:52 GMT+10,60i116,hybrid,4,Wednesday,"Monday, Tuesday, Thursday",Walk/run,Walk/run,Walk/run,,Walk/run,,,,0,2,Statutory Planning,Better change facilities and bike parking.
2022-07-13 16:04:37 GMT+10,jg0vr5,onsite,3,,"Wednesday, Thursday, Friday",Car,,,Car,Car,Car,,,0,2.9,Statutory Planning,"A bus stop near my house and near work, if I was to travel by bus."
